Line Number,Sentence
41,"இவரது இல்லற வாழ்க்கை இலட்சியப் பிடிப்பாலும், தமிழ்ப்பணியாலும் சிறப்பு பெற்றது.",False
42,தம்பதியர் இருவருமே அண்ணல் காந்தியின் பக்தர்கள்.,False
43,இத்தகைய பாக்கியம் பெற்ற எழுத்தாளர்கள் ஒரு சிலரே!,False
44,தம்மிருவரின் ஒத்துழைப்பால் தோன்றிய நூல்களையே தங்கள் குழந்தைகளாக எண்ணி மகிழ்ந்தனர் அந்த ஆதர்ச தம்பதியர்.,False
45,"ஆங்கிலம், தமிழ், வட மொழி, தெலுங்கு, கன்னடம், இந்தி ஆகிய ஆறு மொழிகளை அறிந்திருந்தவர் அம்மையார்.",False
46,தனக்கு உற்றத் துணையாயிருந்த மனையாள் உயிர் நீத்தது சர்மாஜியைத் துயரக் கடலில் ஆழ்த்தியது.,False
47,தனது ஆற்றாமையைத் தன் நண்பருக்கு எழுதிய கடிதங்கள் வாயிலாக வெளிப்படுத்தினார்.,False
48,இவைதான் பின்னர் அவள் பிரிவு என்று நூலாக்கம் பெற்றது.,False
49,இரங்கூனுக்குச் சென்ற சர்மாஜி இல் ஜோதி மாத இதழை தொடங்கினார்.,False
50,பத்திரிகை உலகிற்கு ஒரு புதிய வெளிச்சமாக அமைந்தது ஜோதி.,False
51,பிற்காலத்தில் பிரபலமான எழுத்தாளர்களில் பலரும் ஜோதியில் தங்கள் எழுத்தாற்றலை வெளிப்படுத்தியவர்கள்தாம்.,False
52,புதுமைப் பித்தனின் விபரீத ஆசை முதலான கதைகள் ஜோதியில் வெளிவந்தவையே!,False
53,இரண்டாம் உலகப் போரில் இரங்கூனில் பெய்த குண்டு மழைக்கு நடுவிலும் ஜோதி அணையாமல் தொடர்ந்து சுடர்விட்டது குறிப்பிடத்தக்கது.,False
54,போர்க் காலத்தில் குடும்பத்தோடு அவர் மேற்கொண்ட பர்மா நடைப் பயணம் துன்பங்கள் நிறைந்தது.,False
55,தனது உடமைகளில் எழுது பொருட்களையே முதன்மையாகக் கருதினார்.,False
56,"உயிருக்கு உத்திரவாதமற்ற சூழலில், உயிர் போவதற்குள் தான் மேற்கொண்டிருந்த மொழிபெயர்ப்புப் பணியை முடித்தே ஆகவேண்டும் என்பதில் தீர்க்கமாக இருந்தார்.",False
57,மெழுகுவர்த்தி வெளிச்சத்தில் பாதுகாப்புக் குழியில் இருந்தபடி மொழிபெயர்த்து எழுதி முடிக்கப்பட்டதுதான் பிளாட்டோவின் அரசியல் என்ற உலகம் போற்றும் நூல்.,False
58,"சர்மாவின் நூல்களை வெளியிடுவதற்காகவே இரங்கூனில் தோற்றுவிக்கப்பட்ட பிரபஞ்ச ஜோதி பிரசுராலயம், பின்னர் புதுக்கோட்டைக்கு மாற்றப்பட்டது.",False
59,வரலாறு என்பது உண்மை களை மட்டுமே தாங்கி நிற்க வேண்டும் என்பதில் பிடிவாதமாக இருந்தவர் சர்மாஜி.,False
60,இன்றளவும் இச்சிறப்பில் இவருக்கு இணை இவரே என்பது மிகையல்ல!,False
61,"மொழி பெயர்ப்புகள் நீங்கலாக மற்ற நூல்களை எழுதும் போதும் தனது விமர்சனங்களையும், அபிப்பிராயங்களையும், கற்பனைகளையும் ஒருபோதும் கலந்து எழுதியவரல்ல!",False
62,இப்பண்பே அவரது நூல்களின் மிகச் சிறந்த அம்சமாகும்.,False
63,சர்மாவின் மொழிபெயர்ப்பு நூல்கள் தமிழ் மக்களிடையே மிகவும் புகழ்ப் பெற்றவை.,False
64,சாதாரண வாசகனுக்கும் புரியக் கூடியவை.,False
65,மூல நூலின் வளத்தைக் குறைக்காதவை.,False
66,"ஆக்கியோன் உணர்த்த நினைத்ததை சற்றும் பிசகாமல் உள்ளடக்கி, மொழியின் லாவகத்தோடு சுவைக் குன்றாமல் பெயர்த்துத் தரப்பட்டவை.",False
67,எழுபதுக்கும் மேற்பட்ட மணி மணியான நூல்களை சர்மாஜி எழுதினார்.,False
68,கூந நுளளநவேயைடள டிக ழுயனோளைஅ என்ற ஆங்கில நூலும் அவற்றில் அடங்கும்.,False
69,ஏற்கனவே படித்து அனுபவித்த வர்கள் தங்கள் அனுபவத்தைப் புதுப்பித்துக் கொள்ளலாம்.,False
70,இதன் பொருட்டு திரு.,False
71,"இளவழகன் அவர்களுக்கும், அவர்தம் மகன் இனியனுக்கும் நாம், தமிழர் என்ற வகையில் நன்றி பாராட்ட கடமைப்பட்டுள்ளோம்.",False
72,பதிப்புத் துறையில் வரலாறு படைத்து வரும் திரு கோ.,False
73,இளவழகன் வரலாற்றறிஞர் சர்மாவின் நூல்களை வெளியிடுவது பொருத்தமே!,False
74,", பழனியப்பா நகர், திருகோகர்ணம் அஞ்சல், ஞானாலயா பி.",False
75,கிருஷ்ணமூர்த்தி புதுக்கோட்டை .,False
76,தம்மை உயர் தகுதி உடையவர்களாக்கிக் கொண்ட மாந்தர்களைத் தான் வரலாற்று ஆசிரியர்கள் உலகுக்கு வரலாறாக வடித்துத் தந்துள்ளனர்.,False
77,"சாதிப்பித்தும், சமயப்பித்தும், கட்சிப்பித்தும் தலைக்கேறி தமிழ்க் குமுகாயத்தைத் தலைநிமிரா வண்ணம் சீரழித்து வருகிறது.",False
78,மொழி இன நாட்டுணர்வு குன்றிக் குலைந்து வருகிறது.,False
79,இச்சீரழிவில் இருந்து தமிழர்களை மீட்டெடுக்க வேண்டும்.,False
80,இளமைப் பழக்கம் வாழ்நாள் முழுவதும் உதவும்.,False
81,சர்மா தாம் எழுதிய நூல்களின் வழியாக மக்களிடம் பேசியவர்.,False
82,மக்கள் இவரின் நூல்களைப் படிக்கும் போது அந்த நூல்களின் கதைத் தலைவனோடு நெருங்கி இருப்பதைப் போன்ற உணர்வை ஏற்படுத்தியவர்.,False
83,இவரின் உரைநடை நீரோட்டம் போன்றது.,False
84,தமிழ் உரைநடைக்குப் புத்துயிர் ஊட்டிப் புதுவாழ்வு அளித்தவர்.,False
85,வேம்பாகக் கசக்கும் வரலாற்று உண்மைகளை இனிப்புப் பொங்கலாகத் தமிழ் குமுகாயத்திற்குத் தந்தவர்.,False
86,சாமிநாத சர்மா நூல்களை எழுதியுள்ளார்.,False
87,"இதில் தலைவர்கள், அறிவியல் அறிஞர்களின் வரலாற்று இலக்கியங்கள் ஆகும்.",False
88,இதனை நூல் திரட்டுகளாக வெளியிடுகிறோம்.,False
89,ஏனைய நூல்களையும் மிக விரைவில் தமிழ் கூறும் உலகுக்கு வழங்க உள்ளோம்.,False
90,வடமொழியின் ஆளுமை மேலோங்கி இருந்த காலத்தில் இவரின் தமிழ் உரைநடை வெளிவந்ததாகும்.,False
91,அந்தக் காலப் பேச்சு வழக்கையே மொழி நடையின் போக்காக அமைத்துக் கொண்டு நூலினை உருவாக்கி யுள்ளார்.,False
92,"மரபு கருதி உரை நடை யிலும், மொழிநடையிலும், மேலட்டைத் தலைப்பிலும் மாற்றம் செய்யாது நூலை அப்படியே வெளியிட்டுள்ளோம்.",False
93,தலைவர்களின் வரலாற்று இலக்கியங்களைப் படியுங்கள்.,False
94,அவர்களின் வாழ்வை நெஞ்சில் நிறுத்துங்கள்.,False
95,"தமிழின மேன்மைக்கும், வளமைக்கும் தம் பங்களிப்பைச் செய்ய முன் வாருங்கள்.",False
96,நூலாக்கத்திற்கு உதவிய அனைவருக்கும் எம் நன்றி உணர்வை தனிப்பக்கத்தில் குறித்துள்ளோம்.,False
97,பதிப்பாளர் நுழையுமுன்...,False
98,"மானிட ஜாதியின் சுதந்திரம் இங்கர்சால் பகுத்தறிவுச் செம்மல், அமெரிக்கா ஈன்றெடுத்த அறிஞன் நூலின் மொழிபெயர்ப்பே மானிட ஜாதியின் சுதந்திரம்.",False
99,இவன் ஒரு சிந்தனையாளன்.,False
100,எதனையும் அஞ்சாமல் வெளியிலே சொல்லும் ஆற்றல் உடைய அறிஞன்.,False
101,தான் உழைத்துச் சேர்த்த செல்வத்தைத் துன்பப்பட்ட மக்களுக்குக் கொடுத்து மகிழ்ந்தவன்.,False
102,அறிவுப் பெருக்கத்தின் விளைவால் உள்ளத்தில் பட்டதை உலகிற்கு உரைத்த அறிஞர்கள் வரிசையில் வைத்து எண்ணப் படத்தக்கவன்.,False
103,உயிரைத் துரும்பென மதித்தவன்.,False
104,"எதிர்ப்பு, இரண்டகம், மரணம் இவற்றைப் பொருட்படுத்தாமல் வாழ்ந்து மறைந்தவன்.",False
105,எதை உண்மை என்று நம்பினார்களோ அதற்காகத் தலைநிமிர்ந்து நின்ற பெறுமை உடையவர்களே மாமனிதர்கள்.,False
106,எந்த ஒரு வீட்டில் பயனதரும் நூல்கள் அடங்கிய நூலகம் உள்ளதோ அங்கு அறிவுச் செல்வம் குடி கொண்டிருக்கிறது.,False
107,"பழங்காலத் தெப்பத்திற்கும், இக்காலப் போர்க் கப்பலுக்கும், பழங்காலத் தடிக்கும், இன்றைய தகரிபீரங்கிகளுக்கும் உள்ள அறிவின் முன்னேற்றத்தை இந்நூலில் அறியலாம்.",False
108,அமெரிக்காவின் குடியரசுத் தலைவர் ஆபிரகாம் லிங்கன் அடிமை முறையை அடியோடு ஒழித்தார்.,False
109,பெண்மை யின்அன்பைப் பெற்ற பேராளன்.,False
110,பெண்மையின் பெருமை பேசப்படும் நூல்.,False
111,குழந்தைகளின் அருமை பேசப்படும் நூல்.,False
112,"அறிஞர்கள் உருவாக வேண்டுமானல் குளிர்காலமும் தேவை, கோடைக்காலமும் தேவை.",False
113,பண்படுத்தப்பட்ட மண்ணில்தான் சிறந்த விளைச்சலைக் காண முடியும்.,False
114,அப்படிப் பட்ட நாட்டில்தான் மிகச்சிறந்த அறிஞர்களை உருவாக்க முடியும்.,False
115,சுதந்திரத்தின் தேவைகள் யாவை?,False
116,"சீனப் பெருநிலத்தில் குடும்பப் பற்றும், மரபுப் பற்றும் மிகுந் திருந்ததே தவிர நாட்டுப்பற்று குறைந்திருந்தது.",False
117,சீனர்கள் மணற் மூட்டை போன்றவர்கள்.,False
118,நமது மக்கள் குடும்பத்திற்கும் மரபிற்கும் பற்று செலுத்தினார்களே தவிர ஏன் தேசத்திற்கு பற்று காட்டவில்லை?,False
119,என்று வருந்தியவன் சீன குடியரசுத் தந்தை சன்யாட்சென்.,False
120,உலக மக்களோடு சீனாவை ஒப்பிட்டுப் பார்க்கையில் மிகுந்த மக்கள் தொகையோடு இருக்கிறோம்.,False
121,பழம்பெருமை வாய்ந்த கலையறிவோடு இருக்கிறோம்.,False
122,பலகோடி மக்கள் வாழ்கிறோம்.,False
123,தேசிய உணர்ச்சி இல்லையே ஏன்?,False
124,அந்த தேசிய உணர்ச்சியை வலுப்பெறச் செய்ய வேண்டாமா? என்ற வினாவை எழுப்பி சீனத்தில் தேசிய உணர்ச்சியைக் கட்டி அமைத்தவன்.,False
125,ஒரு நாடு தலைநிமிர்ந்து வாழவேண்டுமானால் அதற்குப் பல துன்பங்கள் வரவேண்டும்.,False
126,எந்த ஒரு நாடு தனக்கு வெளிநாட்டுத் தீங்குகள் இல்லை என்று கருதிக்கொண்டிருக்கிறதோ அது சிதறிப் போவது திண்ணம்.,False
127,ஒரு நாட்டிற்குத் துன்பங்கள் ஏற்பட்டால் அந்தத் துன்பங்களைக் கண்டறிந்து மக்களை ஒன்றுதிரட்டி வீரப்போர் புரிவதே தம் வாழ்விற்கு வழியாகும்.,False
128,பிற நாட்டு அறிஞர்கள் மக்களாட்சியைப் பற்றி பேசுகிறார்கள் நூல்களும் எழுது கிறார்கள்.,False
129,மக்களாட்சி அங்கே மலர்ந்துவிட்டது.,False
130,இங்கே அந்த மலர்ச்சிக்கு வழியில்லையே ஏன்?,False
131,எந்த இனம் அடிமைத் தனத்தில் அமைதியைக் காண்கிறதோ அந்த இனம் சிந்தித்தே தீரவேண்டும்.,False
132,இல்லையெனில் அதற்கு வாழ்வே யில்லை.,False
133,என் சொந்த நாடாகயிருந்தாலும் அந்த நாடு அடிமைநாடாக இருந்தால் அங்கே வாழ்வதைவிட நரகத்தில் வாழ்வதே மேலானது.,False
134,வாழ்க்கையின் உயர்ந்த சட்டம் எது?,False
135,தாய் நாட்டைப் பாதுகாப்பது.,False
136,ஒரு கொள்கையை நாம் பின்பற்று கிறோம் என்றால் அதன் பொருட்டு சாவதற்கும் அணியமாக இருக்கிறோம் என்பது பொருள்.,False
137,அதுவே என் உயிர் மூச்சு.,False
138,ஈகம் செய்து பெறாத விடுதலை விடுதலையாகுமா?,False
139,அந்த விடுதலைதான் நீண்டநாள் உயிர்வாழுமா?,False
140,"தன்மதிப்பு இல்லாத மாந்தர்களோ, இனமோ விடுதலையின் மீது பற்றுக்கொள்ள முடியாது.",False
141,விடுதலையின் எல்லையை விரித்துக்கொண்டு செல்ப வர்கள் துறவிகள் அல்லர் யோகிகள் அல்லர் உழைத்துப் பிழைக்கும் மக்களே.,False
142,இவர்களால்தான் விடுதலையை வென்றெடுக்க முடியும்.,False
143,நமது எண்ணத்தைச் செயலாக உருவாக்குகிற பட்டறைதான் நாடு.,False
144,நமக்கென்று நாடு இல்லாவிட்டால் நமக்கென்று கலையேது?,False
145,விடுதலை என்பது போர்த்தன்மை வாய்ந்தது.,False
146,"வீரமும், மனச்சான்றும் உள்ளவர்கள் விடுதலைக்காகப் போராடுவார்கள்.",False
147,விடுதலையைப் பெற்ற வர்கள் கோழைகள் அல்ல.,False
148,அரசியல் மாற்றத்திற்கு அவர்கள் அஞ்சாதவர்கள்.,False
149,"விடுதலைக்குப் போரிடுவது என்பது புகழுக்காகவோ, பொருளுக் காகவோ, மதிப்பிற்காகவோ அல்ல.",False
150,விடுதலை என்பது மக்களை நோக்கி வராது.,False
151,விடுதலைக்காக நாம்தான் போராடவேண்டும்.,False
152,நாகரிகத்தின் உயர்ந்த பண்பு எது?,False
153,பிறருக்குத் தன்னை ஈகம் செய்வது.,False
154,வாழ்க்கையின் ஊற்று எளிய மக்களிடமிருந்துதான் கிளம்புகிறது.,False
155,மாந்தனாகப் பிறந்து விட்டால் போதுமா?,False
156,மனிதனாக வாழவேண்டாமா?,False
157,"மற்றவர்களுடைய நன்மையை தன்னுடைய நன்மையாகக் கருதுகிறவன் எவனோ, அவனே!",False
158,மாந்தர்களுள் சிறந்தவன்.,False
159,பகட்டாக வாழ்பவன் ஒழுக்கமாக வாழ முடியாது.,False
160,ஒரு நாட்டிற்குப் பெருமை தரக்கூடியவர்கள் வேளாண்பெருங் குடிமக்களே.,False
161,உயர்ந்த கொள்கை இல்லாத வாழ்க்கை ஒரு வாழ்க்கை அல்ல.,False
162,செடிகொடிகள் வளர்வது போலத்தான் அந்த வாழ்க்கை.,False
163,நீ செடி கொடியாக காய்கறியாக இருக்க விரும்புகிறாயா?,False
164,உனது தாய்நாட்டின் மீது பற்று கொள் உனது முன்னோர்கள் வாழ்ந்து உறைந்தது இந்த மண்ணில்தான்.,False
165,"உனது பெயர், புகழ், நீ யார் என்பதற்கு அடையாளம் உனது நாட்டில்தான் அடங்கி உள்ளது.",False
166,இங்கஸால் மற்ற இடங்களில் என்ன சொல்லியிருக்கிறான்?,False
167,மனதிற்கும் சுதந்திரத்திற்கும் உள்ள சம்பந்தம் .,False
168,ஸ்தீரி சுதந்திரம் .,False
169,குழந்தைகள் சுதந்திரம் .,False
170,முடிவுரை சுதந்திர முழக்கம் பதிப்புரை எது சுதந்திரம்?,False
171,பிரார்த்தனை .,False
172,சுதந்திரத்தின் சந்நிதானத்தில் .,False
173,மனித வாழ்க்கையின் முன்னிலையில் .,False
174,சுதந்திர புருஷன் யார்?,False
175,சுதந்திரத்திற்கு யார் அருகரல்லர்?,False
176,சுதந்திர சிந்தனை .,False
177,சுதந்திரத்தின் நான்கு அம்சங்கள் .,False
178,அடிமைகள் யார்?,False
179,போர் அல்லது மரணம் .,False
180,ஆறுதல் உண்டு .,False
181,நான் சாதிக்க முடியும் .,False
182,உரிமையுடையர்கள் .,False
183,தாய்நாடு .,False
184,எங்களது உரிமை .,False
185,சிறைவாசியின் கூற்று .,False
186,எஞ்சியிருப்பது என்ன?,False
187,பிரதிக்ஞை .,False
188,சந்தோஷ புருஷன் யார்?,False
189,ஏதோ ஒன்றுக்காக வாழ் .,False
190,எனது நேர்மையே சுவாசம் .,False
191,மதத்தைப்பற்றித் தவறான கருத்து .,False
192,நமது சம்பத்து .,False
193,நன்னாள் வருக!,False
194,சுதந்திரத்தின் தேவைகள் யாவை?,False
195,பிரசுராலயத்தின் வார்த்தை வாசகர்களுக்கு முதற்பகுதி தேசீய தத்துவம் .,False
196,சீன சமூகம் .,False
197,சீனாவின் நிலைமை சமூகம் .,False
198,தேசீய உணர்ச்சி .,False
199,சீனாவும் ஐரோப்பிய யுத்தமும் .,False
200,பழமையின் மீது புதுமை .,False
201,நமது கடமை இரண்டாம் பகுதி ஜனநாயகம் தத்துவம் .,False
202,ஜனநாயகத்தின் வளர்ச்சி .,False
203,சுதந்திரம் .,False
204,சமத்துவம் .,False
205,மேலைநாடுகளும் ஜனநாயகமும் .,False
206,மேலைநாட்டு நாகரிகம் .,False
207,அரசாங்கம் ஒரு யந்திரம் மூன்றாவது பகுதி வாழ்க்கைத் தத்துவம் .,False
208,ஜீவனோபாயம் .,False
209,சீனாவும் மார்க்கஸீயமும் .,False
210,உணவு .,False
211,"உடை நூலாக்கத்திற்குத் துணை நின்றோர் நூல் கொடுத்து உதவியோர் ஞானாலயா கிருட்டிணமூர்த்தி வாழ்விணையர், பெ.சு.",False
212,"மணி, புலவர் கோ.",False
213,சரவணன் மேலட்டை வடிவமைப்பு இ.,False
214,"இனியன் அச்சுக்கோப்பு முனைவர் செயக்குமார், மு.",False
215,"கலையரசன், சு.",False
216,"மோகன், குட்வில் செல்வி, கீர்த்தி கிராபிக்ஸ் பட்டு, விட்டோபாய் மெய்ப்பு முனைவர் செயக்குமார், வே.மு.",False
217,"பொதியவெற்பன், கி.",False
218,"குணத்தொகையன், உலோ.",False
219,"கலையரசி, அ.",False
220,"கோகிலா, கு.",False
221,"பத்மப்பிரியா, நா.",False
222,"இந்திராதேவி, இரா.",False
223,"நாகவேணி, சே.",False
224,சீனிவாசன் உதவி அரங்க.,False
225,"குமரேசன், வே.",False
226,"தனசேகரன், நா.",False
227,"வெங்கடேசன், மு.ந.",False
228,மானிட ஜாதியின் சுதந்திரம் இவன் யார்?,False
229,இங்கர்ஸால் ஒரு நாஸ்திகன் என்று சிலர் சொல்கிறார்கள்.,False
230,அதைப் பற்றி எனக்குக் கவலையில்லை.,False
231,ஆனால் இவன் ஓர் அறிஞன்.,False
232,ம் வருஷம் ஆகஸ்ட் மாதம் ந்தேதி அமெரிக்கா நியூயார்க் மாகாணத்திலுள்ள ட்ரெஸ்டென் னுசநளனந என்ற ஊரில் பிறந்தான்.,False
233,ம் வருஷம் பிப்ரவரி மாதம் ந் தேதி ஈவா பார்க்கர் நுஎய ஞயசமநச என்ற மாதை மணம் புரிந்தான்.,False
234,ம் வருஷம் ஜுலை மாதம் ந் தேதி டாப்ஸ் பெர்ரி னுடிள குநசசல என்ற இடத்தில் இறந்து போனான்.,False
235,வயதிற்குள் இவன் வக்கீல் பரீட்சையில் தேறி ஒரு நியாயவாதியாகப் பதிவு செய்து கொண்டான்.,False
236,"சுமார் இருபது வருஷ காலம், தன் சகோதரனுடன் சேர்ந்து கொண்டு வக்கீல் தொழிலை நடத்தினான்.",False
237,"இவனுடைய நாவன்மை, இவனை, வக்கீல் தொழிலின் முன்னணிக்குக் கொண்டு வந்தது.",False
238,கட்சிக் காரர்கள் இவனை நாடி வந்தார்கள்.,False
239,பணம் ஏராளமாகக் குவிந்தது.,False
240,வக்கீல் தொழிலில் பிரவேசித்த பத்தாவது வருஷம் இவன் இல்லினாய் ஐடடடிளை மாகாணத்தின் அட்டர்னி ஜெனரலாக நியமனம் பெற்றான்.,False
241,அமெரிக்காவிலேயே இவன் ஒரு சிறந்த நியாய வாதி என்று நியாயவாதிகளே பாராட்டத் தொடங்கினார்கள்.,False
242,"ம் வருஷம் இவன், இல்லினாய் மாகாணத்துக் கவர்னர் பதவிக்கு அபேட்சகனாய் நின்றான்.",False
243,ஆனால் நாஸ்திகன் என்ற காரணத்தி னால் தோல்வியடைந்தான்.,False
244,இங்கர்ஸாலின் பிரசங்கங்களைக் கேட்க ஆயிரக்கணக்கான மக்கள் திரண்டு செல்வது அமெரிக்காவில் சர்வசாதாரண சம்பவம்.,False
245,இவன் பிரசங்கங்களை ஜனங்கள் பணங் கொடுத்துக் கேட்பார்கள்.,False
246,"ஆனால், இங்கர்ஸால் பணத்தினால் பெருமை கொள்ளவில்லை.",False
247,வாய்த் திறமையினால் ஏராளமாகச் சம்பாதித்ததைக் கைத்திறமை யினால் தாராளமாகக் கொடுத்துவிட்டான்.,False
248,மற்றவர்கள் துன்பப் பட்டுக் கொண்டிருப்பதை இவனால் பார்த்துச் சகித்துக் கொண் டிருக்க முடியாது.,False
249,இவனுடைய குடும்பப் பாதுகாப்பின் கீழ் நான்கு குடும்பங்கள் நிம்மதியாக வாழ்ந்து வந்தன.,False
250,"பலருக்கு இவன் மனோ நிம்மதியைக் கொடுத்த தினாலேயோ என்னவோ, இவனுக்கு நிம்மதியான மரணம் கிட்டியது.",False
251,மரண வேதனை என்பதை இவன் அநுபவிக்கவே யில்லை.,False
252,இங்கர்ஸாலைப் பற்றி எவ்வித அபிப்பிராயமும் கொள்ள யாருக்கும் உரிமையுண்டு.,False
253,"இதன் மூலமாகத் தமிழ் நாட்டில், சிந்தனை செய்கிற சக்தி உதயமாக வேண்டு மென்பது என் பிரார்த்தனை.",False
254,விக்ரம ஆனி இங்கர்ஸால் மற்ற இடங்களில் என்ன சொல்லி யிருக்கிறான்?,False
255,அதிகமான நன்மையைச் செய்யுஞ் சக்தியை மனிதனுக்கு அளிப்பது சத்தியந்தான்.,False
256,"ஃ ஃ ஃ மதமானது, நண்பர்களுக்குப் பதிலாகச் சத்துருக்களைத் தான் சிருஷ்டிக்கிறது.",False
257,ஃ ஃ ஃ அடிமைத் தனத்தின் மூலமாக மோட்சத்தை யடைவது கேவலமானது.,False
258,"ஃ ஃ ஃ பழமையை அழிக்கிறவர்கள், புதுமையைச் சிருஷ்டிக்கி றார்கள்.",False
259,ஃ ஃ ஃ அறியாமைதான் துயரத்தின் தாய்.,False
260,ஃ ஃ ஃ .,False
261,மனதுக்கும் சுதந்திரத்திற்கும் உள்ள சம்பந்தம் அறியாமையைத் தவிர்த்து வேறொர் அடிமைத்தனம் இல்லை.,False
262,சுதந்திரம் என்பது அறிவின் குழந்தை.,False
263,மனிதனுடைய சரித்திரம் என்ன?,False
264,இவன் இந்த மனிதன் புரோகிதர்க ளுடையவும் அரசர் களுடையவும் விளையாட்டுப் பொருளாகவும் இரையாகவும் இருந்திருக் கிறான்.,False
265,"மூட நம்பிக்கையினுடைய, கொடுமை நிறைந்த பலாத்கார சக்தியினுடைய ஆகாரமாக இருந்திருக்கிறான்.",False
266,"பலாத்கார சக்தியானது முடிதரித்துக் கொண்டு, பயத்தின் மூலமாக அறியாமையை ஆட்சி புரிந்து வந்திருக்கிறது.",False
267,"நயவஞ்சகம், கொடுங் கோலாதிக்கம் என்ற இரண்டு கழுகுகள் மனிதனுடைய சுதந்திரங்களைத் தின்று வந்திருக்கின்றன.",False
268,இவை யனைத்தினின்றும் தப்ப ஒரே ஒரு வழி இருந்தது அஃது இப்பொழுதும் இருக்கிறது.,False
269,அதுதான் அறிவின் அபிவிருத்தி.,False
270,சுதந்திரத்தின் விரோதிகள் எதையும் செய்யாமல் விட்டுவிட வில்லை.,False
